RUN	BearStrengthSimulation	bearstrengthsimulation	1562681293171	 	3.1.2
USER	Buying Tickets	227	START	1562681294487	1562681294487
USER	Buying Tickets	231	START	1562681294488	1562681294488
USER	Buying Tickets	232	START	1562681294488	1562681294488
USER	Buying Tickets	233	START	1562681294488	1562681294488
USER	Buying Tickets	230	START	1562681294488	1562681294488
USER	Buying Tickets	234	START	1562681294488	1562681294488
USER	Buying Tickets	236	START	1562681294488	1562681294488
USER	Buying Tickets	235	START	1562681294488	1562681294488
USER	Buying Tickets	238	START	1562681294489	1562681294489
USER	Buying Tickets	239	START	1562681294489	1562681294489
USER	Buying Tickets	241	START	1562681294489	1562681294489
USER	Buying Tickets	242	START	1562681294489	1562681294489
USER	Buying Tickets	244	START	1562681294489	1562681294489
USER	Buying Tickets	240	START	1562681294489	1562681294489
USER	Buying Tickets	243	START	1562681294489	1562681294489
USER	Buying Tickets	246	START	1562681294490	1562681294490
USER	Buying Tickets	245	START	1562681294490	1562681294490
USER	Buying Tickets	247	START	1562681294490	1562681294490
USER	Buying Tickets	248	START	1562681294490	1562681294490
USER	Buying Tickets	249	START	1562681294490	1562681294490
USER	Buying Tickets	251	START	1562681294490	1562681294490
USER	Buying Tickets	250	START	1562681294490	1562681294490
USER	Buying Tickets	253	START	1562681294491	1562681294491
USER	Buying Tickets	254	START	1562681294491	1562681294491
USER	Buying Tickets	182	START	1562681294483	1562681294483
USER	Buying Tickets	255	START	1562681294491	1562681294491
USER	Buying Tickets	200	START	1562681294485	1562681294485
USER	Buying Tickets	256	START	1562681294491	1562681294491
USER	Buying Tickets	257	START	1562681294491	1562681294491
USER	Buying Tickets	261	START	1562681294491	1562681294491
USER	Buying Tickets	262	START	1562681294492	1562681294492
USER	Buying Tickets	265	START	1562681294492	1562681294492
USER	Buying Tickets	267	START	1562681294492	1562681294492
USER	Buying Tickets	219	START	1562681294487	1562681294487
USER	Buying Tickets	268	START	1562681294493	1562681294493
USER	Buying Tickets	270	START	1562681294493	1562681294493
USER	Buying Tickets	237	START	1562681294489	1562681294489
USER	Buying Tickets	271	START	1562681294493	1562681294493
USER	Buying Tickets	252	START	1562681294490	1562681294490
USER	Buying Tickets	274	START	1562681294494	1562681294494
USER	Buying Tickets	25	START	1562681294462	1562681294462
USER	Buying Tickets	259	START	1562681294491	1562681294491
USER	Buying Tickets	275	START	1562681294494	1562681294494
USER	Buying Tickets	277	START	1562681294495	1562681294495
USER	Buying Tickets	258	START	1562681294491	1562681294491
USER	Buying Tickets	279	START	1562681294495	1562681294495
USER	Buying Tickets	280	START	1562681294496	1562681294496
USER	Buying Tickets	281	START	1562681294496	1562681294496
USER	Buying Tickets	260	START	1562681294491	1562681294491
USER	Buying Tickets	283	START	1562681294496	1562681294496
USER	Buying Tickets	266	START	1562681294492	1562681294492
USER	Buying Tickets	263	START	1562681294492	1562681294492
USER	Buying Tickets	284	START	1562681294497	1562681294497
USER	Buying Tickets	285	START	1562681294497	1562681294497
USER	Buying Tickets	287	START	1562681294497	1562681294497
USER	Buying Tickets	288	START	1562681294497	1562681294497
USER	Buying Tickets	289	START	1562681294497	1562681294497
USER	Buying Tickets	290	START	1562681294497	1562681294497
USER	Buying Tickets	291	START	1562681294498	1562681294498
USER	Buying Tickets	292	START	1562681294498	1562681294498
USER	Buying Tickets	293	START	1562681294498	1562681294498
USER	Buying Tickets	294	START	1562681294498	1562681294498
USER	Buying Tickets	295	START	1562681294498	1562681294498
USER	Buying Tickets	296	START	1562681294498	1562681294498
USER	Buying Tickets	297	START	1562681294499	1562681294499
USER	Buying Tickets	286	START	1562681294497	1562681294497
USER	Buying Tickets	299	START	1562681294499	1562681294499
USER	Buying Tickets	300	START	1562681294499	1562681294499
USER	Buying Tickets	276	START	1562681294495	1562681294495
USER	Buying Tickets	301	START	1562681294499	1562681294499
USER	Buying Tickets	302	START	1562681294499	1562681294499
USER	Buying Tickets	303	START	1562681294499	1562681294499
USER	Buying Tickets	304	START	1562681294499	1562681294499
USER	Buying Tickets	305	START	1562681294499	1562681294499
USER	Buying Tickets	19	START	1562681294412	1562681294412
USER	Buying Tickets	306	START	1562681294500	1562681294500
USER	Buying Tickets	307	START	1562681294500	1562681294500
USER	Buying Tickets	309	START	1562681294500	1562681294500
USER	Buying Tickets	308	START	1562681294500	1562681294500
USER	Buying Tickets	311	START	1562681294500	1562681294500
USER	Buying Tickets	310	START	1562681294500	1562681294500
USER	Buying Tickets	313	START	1562681294501	1562681294501
USER	Buying Tickets	315	START	1562681294501	1562681294501
USER	Buying Tickets	298	START	1562681294499	1562681294499
USER	Buying Tickets	316	START	1562681294501	1562681294501
USER	Buying Tickets	317	START	1562681294501	1562681294501
USER	Buying Tickets	312	START	1562681294500	1562681294500
USER	Buying Tickets	318	START	1562681294501	1562681294501
USER	Buying Tickets	320	START	1562681294501	1562681294501
USER	Buying Tickets	319	START	1562681294501	1562681294501
USER	Buying Tickets	321	START	1562681294502	1562681294502
USER	Buying Tickets	323	START	1562681294502	1562681294502
USER	Buying Tickets	322	START	1562681294502	1562681294502
USER	Buying Tickets	325	START	1562681294502	1562681294502
USER	Buying Tickets	326	START	1562681294502	1562681294502
USER	Buying Tickets	327	START	1562681294502	1562681294502
USER	Buying Tickets	330	START	1562681294503	1562681294503
USER	Buying Tickets	328	START	1562681294502	1562681294502
USER	Buying Tickets	329	START	1562681294503	1562681294503
USER	Buying Tickets	331	START	1562681294503	1562681294503
USER	Buying Tickets	333	START	1562681294503	1562681294503
USER	Buying Tickets	334	START	1562681294503	1562681294503
USER	Buying Tickets	335	START	1562681294503	1562681294503
USER	Buying Tickets	332	START	1562681294503	1562681294503
USER	Buying Tickets	336	START	1562681294503	1562681294503
USER	Buying Tickets	264	START	1562681294492	1562681294492
USER	Buying Tickets	338	START	1562681294504	1562681294504
USER	Buying Tickets	337	START	1562681294504	1562681294504
USER	Buying Tickets	339	START	1562681294504	1562681294504
USER	Buying Tickets	340	START	1562681294504	1562681294504
USER	Buying Tickets	341	START	1562681294504	1562681294504
USER	Buying Tickets	342	START	1562681294504	1562681294504
USER	Buying Tickets	343	START	1562681294504	1562681294504
USER	Buying Tickets	344	START	1562681294505	1562681294505
USER	Buying Tickets	345	START	1562681294505	1562681294505
USER	Buying Tickets	346	START	1562681294505	1562681294505
USER	Buying Tickets	347	START	1562681294505	1562681294505
USER	Buying Tickets	349	START	1562681294505	1562681294505
USER	Buying Tickets	348	START	1562681294505	1562681294505
USER	Buying Tickets	350	START	1562681294505	1562681294505
USER	Buying Tickets	351	START	1562681294505	1562681294505
USER	Buying Tickets	352	START	1562681294505	1562681294505
USER	Buying Tickets	353	START	1562681294505	1562681294505
USER	Buying Tickets	354	START	1562681294506	1562681294506
USER	Buying Tickets	356	START	1562681294506	1562681294506
USER	Buying Tickets	357	START	1562681294506	1562681294506
USER	Buying Tickets	359	START	1562681294506	1562681294506
USER	Buying Tickets	358	START	1562681294506	1562681294506
USER	Buying Tickets	360	START	1562681294506	1562681294506
USER	Buying Tickets	131	START	1562681294476	1562681294476
USER	Buying Tickets	361	START	1562681294507	1562681294507
USER	Buying Tickets	363	START	1562681294507	1562681294507
USER	Buying Tickets	365	START	1562681294507	1562681294507
USER	Buying Tickets	366	START	1562681294507	1562681294507
USER	Buying Tickets	367	START	1562681294507	1562681294507
USER	Buying Tickets	368	START	1562681294507	1562681294507
USER	Buying Tickets	370	START	1562681294508	1562681294508
USER	Buying Tickets	369	START	1562681294508	1562681294508
USER	Buying Tickets	371	START	1562681294508	1562681294508
USER	Buying Tickets	372	START	1562681294508	1562681294508
USER	Buying Tickets	373	START	1562681294508	1562681294508
USER	Buying Tickets	375	START	1562681294508	1562681294508
USER	Buying Tickets	374	START	1562681294508	1562681294508
USER	Buying Tickets	376	START	1562681294509	1562681294509
USER	Buying Tickets	377	START	1562681294509	1562681294509
USER	Buying Tickets	378	START	1562681294509	1562681294509
USER	Buying Tickets	380	START	1562681294509	1562681294509
USER	Buying Tickets	379	START	1562681294509	1562681294509
USER	Buying Tickets	381	START	1562681294510	1562681294510
USER	Buying Tickets	382	START	1562681294510	1562681294510
USER	Buying Tickets	383	START	1562681294510	1562681294510
USER	Buying Tickets	384	START	1562681294510	1562681294510
USER	Buying Tickets	385	START	1562681294510	1562681294510
USER	Buying Tickets	386	START	1562681294510	1562681294510
USER	Buying Tickets	355	START	1562681294506	1562681294506
USER	Buying Tickets	6	START	1562681294409	1562681294409
USER	Buying Tickets	388	START	1562681294510	1562681294510
USER	Buying Tickets	387	START	1562681294510	1562681294510
USER	Buying Tickets	389	START	1562681294511	1562681294511
USER	Buying Tickets	314	START	1562681294501	1562681294501
USER	Buying Tickets	391	START	1562681294511	1562681294511
USER	Buying Tickets	392	START	1562681294511	1562681294511
USER	Buying Tickets	393	START	1562681294511	1562681294511
USER	Buying Tickets	396	START	1562681294511	1562681294511
USER	Buying Tickets	395	START	1562681294511	1562681294511
USER	Buying Tickets	398	START	1562681294512	1562681294512
USER	Buying Tickets	397	START	1562681294512	1562681294512
USER	Buying Tickets	400	START	1562681294512	1562681294512
USER	Buying Tickets	399	START	1562681294512	1562681294512
USER	Buying Tickets	362	START	1562681294507	1562681294507
USER	Buying Tickets	282	START	1562681294496	1562681294496
USER	Buying Tickets	364	START	1562681294507	1562681294507
USER	Buying Tickets	390	START	1562681294511	1562681294511
USER	Buying Tickets	130	START	1562681294476	1562681294476
USER	Buying Tickets	394	START	1562681294511	1562681294511
USER	Buying Tickets	272	START	1562681294494	1562681294494
USER	Buying Tickets	278	START	1562681294495	1562681294495
USER	Buying Tickets	4	START	1562681294409	1562681294409
USER	Buying Tickets	273	START	1562681294494	1562681294494
USER	Buying Tickets	324	START	1562681294502	1562681294502
USER	Buying Tickets	14	START	1562681294410	1562681294410
USER	Buying Tickets	269	START	1562681294493	1562681294493
USER	Buying Tickets	27	START	1562681294462	1562681294462
USER	Buying Tickets	9	START	1562681294410	1562681294410
USER	Buying Tickets	15	START	1562681294411	1562681294411
USER	Buying Tickets	21	START	1562681294415	1562681294415
USER	Buying Tickets	18	START	1562681294412	1562681294412
REQUEST	159		getRemainingSeats	1562681294481	1562681294550	KO	j.i.IOException: Premature close
REQUEST	278		getRemainingSeats	1562681294514	1562681294556	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/127.0.0.1:3000
REQUEST	208		getRemainingSeats	1562681294486	1562681294550	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/127.0.0.1:3000
REQUEST	110		getRemainingSeats	1562681294474	1562681294546	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/127.0.0.1:3000
REQUEST	55		getRemainingSeats	1562681294468	1562681294553	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/127.0.0.1:3000
REQUEST	35		getRemainingSeats	1562681294467	1562681294549	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/127.0.0.1:3000
REQUEST	29		getRemainingSeats	1562681294464	1562681294557	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/127.0.0.1:3000
REQUEST	257		getRemainingSeats	1562681294492	1562681294557	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/127.0.0.1:3000
REQUEST	395		getRemainingSeats	1562681294512	1562681294571	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/127.0.0.1:3000
REQUEST	292		getRemainingSeats	1562681294498	1562681294546	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/127.0.0.1:3000
ERROR	book: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294587
ERROR	book: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294587
ERROR	book: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294587
ERROR	book: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294587
ERROR	book: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294587
ERROR	book: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294587
ERROR	book: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294587
ERROR	confirm: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294588
ERROR	confirm: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294588
ERROR	confirm: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294588
ERROR	confirm: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294588
ERROR	confirm: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294588
ERROR	confirm: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294588
ERROR	confirm: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294588
REQUEST	57		getRemainingSeats	1562681294468	1562681294588	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/127.0.0.1:3000
ERROR	book: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294590
ERROR	book: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294590
ERROR	book: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294590
ERROR	confirm: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294590
ERROR	confirm: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294590
ERROR	confirm: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294590
ERROR	book: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294590
ERROR	confirm: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294591
USER	Buying Tickets	55	END	1562681294467	1562681294594
USER	Buying Tickets	35	END	1562681294464	1562681294594
USER	Buying Tickets	292	END	1562681294498	1562681294595
USER	Buying Tickets	110	END	1562681294473	1562681294595
USER	Buying Tickets	208	END	1562681294486	1562681294595
REQUEST	126		getRemainingSeats	1562681294476	1562681294595	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/127.0.0.1:3000
USER	Buying Tickets	257	END	1562681294491	1562681294596
USER	Buying Tickets	395	END	1562681294511	1562681294597
USER	Buying Tickets	278	END	1562681294495	1562681294597
USER	Buying Tickets	159	END	1562681294480	1562681294597
REQUEST	67		getRemainingSeats	1562681294469	1562681294596	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/127.0.0.1:3000
REQUEST	103		getRemainingSeats	1562681294473	1562681294596	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/127.0.0.1:3000
ERROR	book: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294598
ERROR	book: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294598
REQUEST	224		getRemainingSeats	1562681294488	1562681294595	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/127.0.0.1:3000
ERROR	confirm: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294598
ERROR	confirm: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294599
ERROR	book: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294599
USER	Buying Tickets	29	END	1562681294463	1562681294598
ERROR	confirm: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294599
USER	Buying Tickets	57	END	1562681294468	1562681294599
USER	Buying Tickets	126	END	1562681294475	1562681294599
USER	Buying Tickets	103	END	1562681294473	1562681294599
REQUEST	276		getRemainingSeats	1562681294499	1562681294595	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/127.0.0.1:3000
USER	Buying Tickets	224	END	1562681294487	1562681294599
ERROR	book: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294600
REQUEST	73		getRemainingSeats	1562681294470	1562681294599	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/127.0.0.1:3000
REQUEST	289		getRemainingSeats	1562681294498	1562681294596	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/127.0.0.1:3000
REQUEST	192		getRemainingSeats	1562681294485	1562681294600	KO	j.i.IOException: Premature close
ERROR	confirm: Failed to build request: No attribute named 'bookingSeat' is defined 	1562681294602
